condition,side,entry_time,exit_time,quantity,cost,proceeds,pnl
0x376eb489d95b2ab8a25e1c93ea35ad2cadaf01715b9cb64671e7ffd4118be965,UP,1778165461,1778165478,6.360897099334368,4.63206887670628,4.338831520426965,-0.2932373562793149
0xa7a24458cda4896d04bd5e925f08c1c9b7335eb6b1d4e2ab9efbf264f1e536a2,DOWN,1778228461,1778228484,5.698205793860093,4.034386684110884,3.5483297298946184,-0.4860569542162656
0x55ab76522a86ec755238c7c5cb64c4327fe32cda1a67590f16dca76a14ae97df,UP,1778236261,1778236267,5.025094750609562,4.268365732115268,3.8754033226176006,-0.3929624094976676
0x6df2c3b83e0e38327dcd1796614fc15b63f6db2b91b194a172a5cc84663a8ada,UP,1778267761,1778267794,6.992502767594153,4.597640494720832,5.946494278589743,1.3488537838689112
0x16b6deeed0603035fe1fab25c868f60fc5e7ac5e761dd4a15d34eb897dbbfa49,DOWN,1778416861,1778416863,6.628622983002397,4.358385897553906,3.930839715150251,-0.42754618240365483
0x6f585a943257ab8f1aec6f6b45c40f2676691954c7949ca34e77af534956fd32,UP,1778456161,1778456185,5.197855724120972,3.7851305168621328,4.11155585633693,0.32642533947479757
0x945be8e87294c87c37c0a8a2547a1b612fcbdbc92063cf45484a1307010e6adc,UP,1778463961,1778463963,5.70339224478853,1.733888276338161,1.4059432222628205,-0.32794505407534036
0x2b1bba5f99018738df467c725fa172ebe76009c04137f21ca0cb4d30a2669822,DOWN,1778487661,1778487681,5.607608302938613,4.479974349300687,4.2691282771101955,-0.2108460721904919
0xec7312be412adf2475d648d6b8502dee1cc87210e805e096851019e6d7b7141c,DOWN,1778518861,1778518887,5.378971038399788,4.405968967263651,4.840589827166354,0.4346208599027026
0xfaf6ba7d034e318e868f2f27e90f199112822340b0a65344bfea9e81159693f0,UP,1778542561,1778542612,6.146212129058586,4.5998866195087365,4.374935255585192,-0.22495136392354453
0x98f06ea65697098a5b38adfa00a211c8fbeac426d23cdc0963e29c7431072c83,UP,1778550361,1778550364,6.419486025131267,3.5725081678458017,2.917078644679899,-0.6554295231659029
0x0dd58e29465dadd1f4e1bd8b9d13fb3a735d84a68320716401b3aed9e6127d72,DOWN,1778581861,1778581866,5.194012065305844,3.5724934386380127,3.4914668504192417,-0.08102658821877107
0x236e6fe5ee316a1ad8a3dca46c2c31c1995c4ab45494aa046ebceb8b766fef50,UP,1778605261,1778605282,5.993878485847261,3.819958697815318,4.444520836040603,0.6245621382252846
0xeffe0cd9afea31f0185c4821228fc1bee840ef79efdccad8ffe9a5505e3a6745,DOWN,1778628961,1778628967,6.607092302077095,4.210765995036754,3.1985594543585423,-1.0122065406782115
0x0d6a2ea2ccbef6cdfd7618501e9ecdeeddd04ce948563797e2f70ebcc87ceac1,DOWN,1778668261,1778668296,5.283113234626764,2.4065109095048376,2.819122053129188,0.41261114362435025
0x8324579c7149ad452098a67f0d6752a508d6ba9924f30dae0214f2ad257b6361,UP,1778683861,1778683877,6.786377937599604,4.599196192090628,4.629056255016065,0.029860062925437525
0x6efdac98c9ef2eacd9ea040464cbe6c5d17404697cec1dc7194420e01899b1e2,DOWN,1778738761,1778738767,7.28406619643024,3.3915340617198844,3.021503498941228,-0.3700305627786564
0x0becbcb0e60b720984b2d0c7ae99db0c41c88f1008dbbae33ff8b9f028db7187,DOWN,1778785861,1778785867,5.878705577743055,3.568433072745812,2.8459401572411904,-0.7224929155046214
0xc9c4f678ebb2c5e6fc7a172dcf8d7ef16409fed032cdb7b039fe1393027cefe7,DOWN,1778809561,1778809563,5.407490800902422,4.320098475748954,3.581435232345683,-0.7386632434032707
